Κωδικός,Ρόλος,Κατάσταση,Κεφάλαια,Θέματα,Εξαγωγή,Σημείωση
SRC-2C9FFED27E,υποστηρικτική,επαληθευμένη,Safe RL; Robust constraints; Policy optimization; Computational trade-offs; Threats to validity,RCMDP; RNPG; robust feasibility; constraint violation; model mismatch; iteration complexity,ναι,Canonical NeurIPS πηγή για robust feasibility και χωριστή worst-case αξιολόγηση task/constraints· δεν είναι adaptation mechanism.
SRC-7313A97A30,υποστηρικτική,επαληθευμένη,Robust baselines; Uncertainty-set design; Tabular RL; Agent architectures; Trade-offs,practical uncertainty set; ARQ-Learning; pessimistic agent; robust Q-learning; conservativeness,ναι,Τεκμηριώνει sensitivity στο uncertainty-set specification και nominal–pessimistic ablation· abstract-level evidence.
SRC-C90D59EC8C,απόρριψη,απορρίφθηκε,Exploration; Coverage; Structured perturbations; Robust baselines; Μετρικές; Threats to validity,state entropy; policy entropy; visitation counts; spatial perturbation; rollout sensitivity,όχι,Υποστηρίζει tabular state-coverage ablation για structured changes· δεν είναι detector ή safe-exploration guarantee.
SRC-54E00B5A43,απόρριψη,απορρίφθηκε,,duplicate edition; RCMDP; RNPG; arXiv; NeurIPS 2025,όχι,ArXiv/HTML έκδοση της ίδιας εργασίας με το canonical SRC-2C9FFED27E.
SRC-3EF7E5F425,απόρριψη,απορρίφθηκε,,FARR; adversarial environment design; PSRO; feasible tasks; GridWorld,όχι,"Υψηλής ποιότητας αλλά βαριά adversarial curriculum μέθοδος, redundant με επιλεγμένες UED/solvability πηγές και εκτός βασικού online-adaptation scope."
SRC-A784C81711,απόρριψη,απορρίφθηκε,,duplicate; FARR; hosted copy,όχι,Ίδιο FARR paper με το SRC-3EF7E5F425· δεν μετρά ως ανεξάρτητη πηγή.
SRC-0A4446E662,απόρριψη,απορρίφθηκε,,generalized OOD detection; supervised classification; anomaly detection; survey,όχι,Broad supervised survey χωρίς trajectory-level RL detection/adaptation evidence· οι αναγκαίες έννοιες καλύπτονται ήδη.
SRC-A566FE1E98,απόρριψη,απορρίφθηκε,,rliable; software repository; bootstrap; IQM; performance profiles,όχι,Implementation dependency· τα scientific claims καλύπτονται από το canonical NeurIPS paper SRC-0A4AFAC8E9.
SRC-1D5EA31EEF,απόρριψη,απορρίφθηκε,,AI Safety Gridworlds; GitHub; archived repository; implementation,όχι,Archive/implementation resource· οι scientific safety-gridworld claims καλύπτονται από canonical papers.
SRC-642F9F639D,απόρριψη,απορρίφθηκε,,MiniGrid; GitHub repository; Gymnasium; implementation dependency,όχι,Implementation source with version pinning· η επιστημονική environment τεκμηρίωση καλύπτεται από SRC-A4DC00B75B.
SRC-8F1C2D6CE4,υποστηρικτική,επαληθευμένη,Neural agents; Robust policy learning; Capacity; Computational trade-offs; Threats to validity,AdaRL; adaptive rank; low-rank policy; epistemic dynamics uncertainty; bias variance; Wasserstein,ναι,"Optional neural background για capacity–uncertainty trade-offs· arXiv/MuJoCo evidence, όχι tabular recovery mechanism."
SRC-E9D551F27C,υποστηρικτική,επαληθευμένη,Robust training; Curriculum; Hyperparameter protocol; Generalization; Threats to validity,DR-SPCRL; robustness budget; self-paced curriculum; perturbation severity; conservativeness,ναι,Development-only adaptive robustness-budget schedule· δεν είναι deployment adaptation και απαιτεί held-out severity tests.
SRC-7C18826BEE,υπόβαθρο,επαληθευμένη,Uncertainty quantification; Neural agents; Exploration; Detection diagnostics; Threats to validity,MC dropout; approximate Bayesian inference; predictive variance; epistemic uncertainty; stochastic passes,ναι,"Foundational neural UQ source· optional μόνο εάν προστεθεί neural function approximation, όχι tabular default."
SRC-A3CF75E7FD,απόρριψη,απορρίφθηκε,,safe online RL; offline data; seminar transcript; Lyapunov density model,όχι,YouTube transcript με transcription errors· χρησιμοποιείται μόνο για discovery των primary papers.
SRC-781B58434A,απόρριψη,απορρίφθηκε,,doctoral thesis; uncertainty quantification; ensembles; RND; metadata,όχι,Υψηλής αξίας umbrella dissertation αλλά διαθέσιμο μόνο metadata/abstract record· προτιμώνται οι επιμέρους primary papers.
SRC-93384F0217,απόρριψη,απορρίφθηκε,,DIAYN; unsupervised skill discovery; mutual information; hierarchical RL,όχι,Θεμελιώδης skill-discovery εργασία αλλά εκτός controlled online-change και resource-aware baseline scope.
SRC-2CEF0D3E68,απόρριψη,απορρίφθηκε,,Enhanced POET; open-ended learning; population; environment generation; goal switching,όχι,Open-ended population-based framework με δυσανάλογο scope· diversity/solvability καλύπτονται από canonical benchmark sources.
SRC-49CA580DE9,απόρριψη,απορρίφθηκε,,multi-agent emergence; specification misalignment; Markov games; GridWorld,όχι,Αφορά emergent failures από interactions πολλών agents και όχι single-agent exogenous environmental shifts.
SRC-CD31230403,απόρριψη,απορρίφθηκε,,adversarial DRL; attacks; defenses; security survey,όχι,Malicious attacker threat model εκτός του βασικού non-adversarial uncertainty scope.
SRC-55EB060C37,απόρριψη,απορρίφθηκε,,IEEE CAI; ethics vertical; trustworthy AI; event page,όχι,"Conference scope page χωρίς peer-reviewed RL definitions, experiments ή metrics."
SRC-52E62452B8,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust MDPs; Baselines; Trade-offs; Threats to validity,robust MDP; uncertain transition matrices; rectangular uncertainty; robust dynamic programming; conservativeness,ναι,Θεμελιώδης πηγή robust-MDP semantics και robust Bellman baseline· διαχωρίζει worst-case model uncertainty από online resilience.
SRC-91D94DB95B,υποστηρικτική,επαληθευμένη,Safe RL; CMDP; Policy optimization; Μετρικές; Threats to validity,CPO; CMDP; auxiliary cost; constraint violation; policy divergence,ναι,Primary CMDP πηγή για χωριστή αναφορά task return και safety cost κατά τη recovery περίοδο· όχι change detector.
SRC-8E22CBA55A,υποστηρικτική,επαληθευμένη,Safe RL; Stability; Model uncertainty; Certification; Threats to validity,Lyapunov stability; region of attraction; Gaussian process; safe exploration; certificate revalidation,ναι,Διακρίνει control-theoretic recovery από policy adaptation και απαιτεί revalidation safety certificates μετά από dynamics change.
SRC-6126015212,υποστηρικτική,επαληθευμένη,Safe RL; Reachability; Returnability; Exploration; Μετρικές; Threats to validity,SNO-MDP; safe set; reachability; returnability; GP safety; early stopping,ναι,Τεκμηριώνει ότι local safety δεν αρκεί χωρίς safe return path· structural changes απαιτούν επανέλεγχο returnability.
SRC-BB5ECDA0CD,υποστηρικτική,επαληθευμένη,Robust planning; MCTS; Model uncertainty; Computational fairness; Threats to validity,robust MCTS; ambiguity set; transition uncertainty; reward uncertainty; simulator queries; FrozenLake,ναι,Planning-based robust comparator· απαιτεί χωριστή αναφορά simulator-query/rollout budget και δεν αποτελεί changepoint adaptation.
SRC-80D1CDD66B,απόρριψη,απορρίφθηκε,,LLM guidance; MC dropout; policy shaping; MiniGrid,όχι,Αφορά calibration εξωτερικού LLM trainer και όχι environmental non-stationarity· θα διεύρυνε αδικαιολόγητα το scope.
SRC-60EF27E7AD,απόρριψη,απορρίφθηκε,,cyber resilience; autonomous cyber agents; attacks; recovery metrics,όχι,Cross-domain resilience discussion με malicious cyber threat model· οι γενικές recovery metrics καλύπτονται ήδη από direct selected sources.
SRC-0B1E2F30F6,απόρριψη,απορρίφθηκε,,hierarchical reinforcement learning; dynamic game; Q-learning; dungeon crawler,όχι,Dynamic game events και hierarchical replanning δεν αποτελούν explicit environmental-changepoint protocol.
SRC-E59631E883,απόρριψη,απορρίφθηκε,,duplicate; hierarchical reinforcement learning; dungeon crawler,όχι,Hosted/conversion duplicate του SRC-0B1E2F30F6· διατηρείται χωρίς διπλή καταμέτρηση.
SRC-30334BD5A0,απόρριψη,απορρίφθηκε,,HighwayEnv; documentation; autonomous driving; implementation,όχι,Implementation documentation χωρίς controlled resilience protocol· διατηρείται μόνο ως πιθανό external-validity environment resource.
SRC-E8CAAF02BE,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; POMDP; Context inference; Observation uncertainty; Threats to validity,POMDP; belief state; partial observability; information gathering; latent state; prior model,ναι,Θεμελιώνει belief-state reasoning και τη διάκριση observation uncertainty/context inference από πραγματικό environmental changepoint.
SRC-A203ABEEFE,υποστηρικτική,επαληθευμένη,Replay memory; Adaptive baselines; Diagnostics; Computational trade-offs; Threats to validity,prioritized replay; TD error; stale data; importance sampling; buffer flush; replay ratio,ναι,Τεκμηριώνει replay sampling/bias· στη non-stationarity απαιτεί age/regime diagnostics και oracle/detector-triggered buffer-flush ablations.
SRC-5E062C81BA,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust RL; Zero-update evaluation; Trade-offs; Threats to validity,H-infinity; actor-disturber-critic; worst disturbance; model mismatch; parameter shift; frozen robustness,ναι,Historical primary evidence για pre-trained worst-case robustness· απαιτεί διάκριση immediate frozen performance από post-change adaptation.
SRC-70AEC665B2,υποστηρικτική,επαληθευμένη,Neural detection; Calibration; Μετρικές; Hyperparameter protocol; Threats to validity,calibration; ECE; MCE; reliability diagram; temperature scaling; confidence,ναι,Μόνο για neural context/detector arm· confidence δεν ερμηνεύεται ως probability χωρίς held-out calibration.
SRC-CE71F210EE,απόρριψη,απορρίφθηκε,,SNGP; distance awareness; supervised OOD; neural uncertainty,όχι,Υψηλής ποιότητας supervised-UQ method αλλά redundant και εκτός tabular/sequential core.
SRC-8EE2492823,απόρριψη,απορρίφθηκε,,shielding; safe RL; runtime enforcement; survey; redundancy,όχι,Χρήσιμη survey αλλά runtime-assurance/shield semantics καλύπτονται ήδη από selected canonical sources.
SRC-1BF9FE1A37,απόρριψη,απορρίφθηκε,,AI agents; no-code; LLM workflows; tutorial; commercial video,όχι,Commercial/tutorial LLM-agent content χωρίς RL resilience relevance ή scientific evidence tier.
SRC-93F2331D50,απόρριψη,απορρίφθηκε,,AI agent taxonomy; reflex agent; goal agent; learning agent; video,όχι,Εισαγωγικό video taxonomy· οι ορισμοί agent/learning καλύπτονται από canonical academic sources.
SRC-B790DF867B,απόρριψη,απορρίφθηκε,,Monte Carlo; constant step size; GridWorld; lecture transcript,όχι,Χρήσιμο διδακτικό intuition για recency αλλά όχι citation-ready primary evidence.
SRC-AE8219876F,απόρριψη,απορρίφθηκε,,duplicate; Monte Carlo; GridWorld; lecture transcript,όχι,Alternate conversion του SRC-B790DF867B· διατηρείται χωρίς διπλή καταμέτρηση.
SRC-9D663D35D0,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust baselines; Tabular RL; Resource accounting; Threats to validity,model-free robust MDP; penalized DRO; robust Q-learning; Markovian data; memory footprint,ναι,Model-free robust-Q feasibility με O(|S||A|) storage· δεν αποτελεί changepoint detector ή repeated-regime adaptation.
SRC-19C2E91926,υποστηρικτική,επαληθευμένη,Detection baselines; OOD benchmark; Perturbation taxonomy; Μετρικές; Threats to validity,RL OOD detection; dynamics shift; observation corruption; severity; ensembles; detection metrics,ναι,"RL-specific OOD benchmark· static OOD scores συμπληρώνονται με false alarms, detection delay και missed-change rate στο sequential protocol."
SRC-6609D86CD5,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Recurring regimes; Context memory; Baselines; Threats to validity,nonstationary RL; hidden modes; repeated dynamics; recency; context recall; POMDP,ναι,Ιστορικό rationale για recency-only relearning έναντι explicit memory όταν επανέρχονται προηγούμενα regimes· abstract-level evidence.
SRC-73C145D523,υποστηρικτική,επαληθευμένη,Safe RL; Recovery controllers; Dead-end diagnostics; Μετρικές; Threats to validity,dead ends; recovery policy; safety critic; behavior correction; conservativeness; interventions,ναι,Διαχωρίζει safety recovery από task recovery και εισάγει recoverable/dead-end diagnostics· offline pretraining δηλώνεται ως prior-data advantage.
SRC-F36BDC75F4,απόρριψη,απορρίφθηκε,,robust MDP; survey; formal methods; redundancy,όχι,Υψηλής ποιότητας gentle survey αλλά δεν προσθέτει νέο thesis-specific protocol πέρα από ήδη selected robust-MDP primary/survey sources.
SRC-DD7CA18422,απόρριψη,απορρίφθηκε,,duplicate edition; robust MDP survey; arXiv,όχι,ArXiv έκδοση της ίδιας εργασίας με SRC-F36BDC75F4· δεν μετρά ως ανεξάρτητο evidence.
SRC-8E77CE2389,απόρριψη,απορρίφθηκε,,duplicate edition; safe model-based RL; Lyapunov stability,όχι,ArXiv έκδοση της canonical εργασίας SRC-8E22CBA55A· διατηρείται χωρίς διπλή καταμέτρηση.
SRC-F24D141550,απόρριψη,απορρίφθηκε,,spotlight transcript; safe model-based RL; derivative,όχι,Derivative NIPS spotlight transcript της canonical εργασίας SRC-8E22CBA55A.
SRC-4F944A9FEB,απόρριψη,απορρίφθηκε,,safe RL; real robots; domain randomization; sim-to-real; MSc,όχι,Application-specific MSc με κύριο evidence sim-to-real/domain randomization και όχι controlled post-change resilience.
SRC-D2A07C1635,απόρριψη,απορρίφθηκε,,duplicate; safe RL; real robots; MSc metadata,όχι,Δεύτερο record της ίδιας Aalto MSc thesis με SRC-4F944A9FEB· δεν μετρά ως ανεξάρτητη πηγή.
SRC-62996FD690,υποστηρικτική,επαληθευμένη,Detection baselines; OOD diagnostics; Neural uncertainty; Μετρικές; Threats to validity,epistemic uncertainty; OOD; bootstrap; MC dropout; GridWorld; calibration,ναι,RL-specific neural OOD evidence· static uncertainty separation δεν θεωρείται sequential changepoint detection χωρίς false-alarm/delay validation.
SRC-6E7AFA8AC0,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Robust baselines; Sample complexity; Trade-offs; Threats to validity,robust MDP; sample complexity; rectangularity; L1; chi-square; KL; uncertainty radius,ναι,Τεκμηριώνει dependence των robust guarantees από ambiguity-set family/radius/rectangularity· αφορά model mismatch και όχι recovery.
SRC-D1B6BA711E,υποστηρικτική,επαληθευμένη,Robust baselines; Online learning; Exploration; Computational trade-offs; Threats to validity,online robust MDP; policy optimization; exploration; robust regret; ambiguity set,ναι,Online robust learning χωρίς generative oracle· statistical exploration uncertainty και assumed robust ambiguity καταγράφονται χωριστά.
SRC-9AF6281E67,υποστηρικτική,επαληθευμένη,Robust baselines; Uncertainty-set design; Limited-data robustness; Trade-offs; Threats to validity,policy-conditioned uncertainty set; non-rectangular; trajectory features; off-policy data; conservativeness,ναι,Trajectory-level feature constraints μπορούν να μειώσουν rectangular conservativeness αλλά εισάγουν explicit prior/reference-policy choices· όχι online adaptation.
SRC-CC5B34C28C,υποστηρικτική,επαληθευμένη,Robust baselines; Policy selection; Conservativeness; Μετρικές; Threats to validity,ORBE; best-effort policy; robust MDP; dominance; nominal performance; worst-case return,ναι,"AAAI-26 tie-breaker μεταξύ worst-case-optimal robust policies· χρήσιμο για clean-vs-worst-case reporting, όχι changepoint recovery."
SRC-27B5CE6877,απόρριψη,απορρίφθηκε,,multi-agent; Dec-POMDP; communication uncertainty; robotics,όχι,Υψηλής ποιότητας multi-agent planning source αλλά διαφορετικό uncertainty mechanism από single-agent exogenous environmental shifts.
SRC-EC7D639B07,απόρριψη,απορρίφθηκε,,commercial security; GenAI; self-healing; cyber resilience; marketing,όχι,Commercial security-resilience article χωρίς peer-reviewed RL protocol ή controlled scientific evidence.
SRC-FFDA13CA36,απόρριψη,απορρίφθηκε,,Wikipedia; MARL; stochastic games; policy-induced nonstationarity,όχι,"Encyclopedic MARL page και διαφορετικό causal mechanism· discovery-only, όχι scientific evidence."
SRC-0490CF519D,απόρριψη,απορρίφθηκε,,autonomous driving; deep RL survey; application; sim-to-real,όχι,Broad application survey χωρίς νέο controlled changepoint/recovery protocol πέρα από ήδη selected general sources.
SRC-D0EDFCACAC,απόρριψη,απορρίφθηκε,,Wikipedia; MDP; generic background,όχι,Generic encyclopedic background πλήρως redundant με canonical textbooks και primary MDP/RL sources.
SRC-6F4B8E8DCE,υποστηρικτική,επαληθευμένη,Safe RL; Safe exploration; Constraint modeling; Μετρικές; Threats to validity,GSE; MASE; instantaneous safety; emergency stop; uncertainty quantifier; GridWorld,ναι,Ενοποιεί αυστηρές safe-exploration formulations και κάνει explicit το emergency-stop/prior capability· safety guarantee δεν ισοδυναμεί με changepoint adaptation.
SRC-B9911A6CFB,υποστηρικτική,επαληθευμένη,Safe RL; Partial observability; Shields; Prior knowledge; Threats to validity,POMDP; belief support; reach-avoid; shield; partial model; phase-out,ναι,Shielding με partial observability και prior transition-support knowledge· interventions και model-support advantage καταγράφονται χωριστά.
SRC-19858252B7,υποστηρικτική,επαληθευμένη,Safe transfer; Exploration; Μετρικές; Agent architectures; Threats to validity,safe guide; reward-free RL; policy distillation; safety jump-start; time to safety; time to optimum,ναι,Ισχυρή πηγή για safe-transfer metrics και gradual guide removal· απαιτεί source/target safety-dynamics compatibility και mismatch ablation.
SRC-8718299821,υποστηρικτική,επαληθευμένη,Safe RL; Runtime assurance; Shields; Formal safety; Agent architecture,preemptive shield; post-posed shield; temporal logic; minimum interference; convergence,ναι,Foundational shield architecture· διαχωρίζει learning objective από runtime correctness και απαιτεί intervention/minimum-interference reporting.
SRC-B1E5732635,υποστηρικτική,επαληθευμένη,Safe RL; Recovery shielding; Model uncertainty; Interventions; Threats to validity,Gaussian process dynamics; backup policy; recoverable state; high-probability safety; observation noise,ναι,Πρόσφατο preprint για online learned dynamics + backup shielding· optional continuous-control reference με revalidation μετά από dynamics shift.
SRC-715B37A148,απόρριψη,απορρίφθηκε,,commercial security; adversarial machine learning; enterprise threats,όχι,Commercial adversarial-ML guidance με malicious threat model και χωρίς controlled RL evidence.
SRC-F491B6986C,απόρριψη,απορρίφθηκε,,NIST; adversarial machine learning; attack taxonomy; security,όχι,Υψηλής ποιότητας institutional taxonomy αλλά εκτός του βασικού non-adversarial environmental-change scope και redundant με προηγούμενο NIST exclusion.
SRC-0BC87F6189,απόρριψη,απορρίφθηκε,,Wikipedia; agentic AI; LLM agents; software automation,όχι,Generic encyclopedia για modern agentic/LLM systems· δεν αποτελεί RL resilience evidence.
SRC-E242123630,απόρριψη,απορρίφθηκε,,LLM uncertainty; hallucination; calibration; survey,όχι,Ισχυρή ACM survey αλλά LLM/token/semantic UQ είναι διαφορετικό experimental object από sequential RL uncertainty.
SRC-556A26CC39,απόρριψη,απορρίφθηκε,,active learning; curiosity; exploration; interaction; broad survey,όχι,Broad active-learning survey χωρίς direct changepoint/recovery protocol· οι χρήσιμες exploration concepts καλύπτονται από πιο άμεσες RL πηγές.
SRC-3ADFA80991,απόρριψη,απορρίφθηκε,,χωρίς κατηγορία,όχι,Συγχρονισμός από canonical analysis.
SRC-A1D7E951DB,απόρριψη,απορρίφθηκε,,χωρίς κατηγορία,όχι,Συγχρονισμός από canonical analysis.
SRC-897C38AAF8,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-44678B246F,απόρριψη,απορρίφθηκε,,ανθεκτικότητα και ανάκαμψη; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-847A095FA3,απόρριψη,απορρίφθηκε,,ασφαλής ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,όχι,Συγχρονισμός από canonical analysis.
SRC-F82F4BD836,απόρριψη,απορρίφθηκε,,ασφαλής ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,όχι,Συγχρονισμός από canonical analysis.
SRC-AABAFA12BF,απόρριψη,απορρίφθηκε,,διακυβέρνηση και ηθική,όχι,Συγχρονισμός από canonical analysis.
SRC-DFFF269D33,απόρριψη,απορρίφθηκε,,μη στασιμότητα; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-60ECE049E6,απόρριψη,απορρίφθηκε,,πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; εύρωστη ενισχυτική μάθηση; GridWorld; ασφαλής ενισχυτική μάθηση; αβεβαιότητα ανταμοιβής; μερική παρατηρησιμότητα,όχι,Συγχρονισμός από canonical analysis.
SRC-7714A58280,απόρριψη,απορρίφθηκε,,περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-798A4AFE7E,απόρριψη,απορρίφθηκε,,χωρίς κατηγορία,όχι,Συγχρονισμός από canonical analysis.
SRC-6806120384,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-6D968A501D,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-084A1BFD64,απόρριψη,απορρίφθηκε,,στατιστική αξιολόγηση; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-8E6D76457D,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης; διακυβέρνηση και ηθική,όχι,Συγχρονισμός από canonical analysis.
SRC-10236BC6DB,απόρριψη,απορρίφθηκε,,περιβάλλοντα και benchmarks,όχι,Συγχρονισμός από canonical analysis.
SRC-C7E22C59DE,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-B1BDB3A5A9,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-13CFB90F59,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-49195612A3,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης; διακυβέρνηση και ηθική,όχι,Συγχρονισμός από canonical analysis.
SRC-83030D4158,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης; διακυβέρνηση και ηθική,όχι,Συγχρονισμός από canonical analysis.
SRC-70A0C89F93,απόρριψη,απορρίφθηκε,,χωρίς κατηγορία,όχι,Συγχρονισμός από canonical analysis.
SRC-50C47991CC,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης; ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; διακυβέρνηση και ηθική,όχι,Συγχρονισμός από canonical analysis.
SRC-1F8839FDA8,απόρριψη,απορρίφθηκε,,GridWorld; ασφαλής ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,όχι,Συγχρονισμός από canonical analysis.
SRC-B4F46326ED,απόρριψη,απορρίφθηκε,,χωρίς κατηγορία,όχι,Συγχρονισμός από canonical analysis.
SRC-97A931D29F,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-4FF5AB08E6,απόρριψη,απορρίφθηκε,,χωρίς κατηγορία,όχι,Συγχρονισμός από canonical analysis.
SRC-D057CF6978,απόρριψη,απορρίφθηκε,,GridWorld; ασφαλής ενισχυτική μάθηση; αβεβαιότητα μεταβάσεων; ενισχυτική μάθηση με μοντέλο; διακυβέρνηση και ηθική,όχι,Συγχρονισμός από canonical analysis.
SRC-F4B012F78F,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-CCCFFD4365,απόρριψη,απορρίφθηκε,,διακυβέρνηση και ηθική,όχι,Συγχρονισμός από canonical analysis.
SRC-A6DBFC5357,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-69F70663B3,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-7DA66E226E,απόρριψη,απορρίφθηκε,,βαθιά ενισχυτική μάθηση; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-9CC11ECF41,υποστηρικτική,επαληθευμένη,,εύρωστη ενισχυτική μάθηση; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση,ναι,Συγχρονισμός από canonical analysis.
SRC-8FC523FC42,απόρριψη,απορρίφθηκε,,ανθεκτικότητα και ανάκαμψη,όχι,Συγχρονισμός από canonical analysis.
SRC-13B66B20D8,κύρια,επαληθευμένη,,GridWorld; ενισχυτική μάθηση με μοντέλο; περιβάλλοντα και benchmarks,ναι,Συγχρονισμός από canonical analysis.
SRC-AFCB3FE8DF,απόρριψη,απορρίφθηκε,,αβεβαιότητα παρατηρήσεων; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση,όχι,Συγχρονισμός από canonical analysis.
SRC-822FFD1EF7,απόρριψη,απορρίφθηκε,,αβεβαιότητα παρατηρήσεων; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,όχι,Συγχρονισμός από canonical analysis.
SRC-5736A9A37B,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-CDCEC02AAA,απόρριψη,απορρίφθηκε,,πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,όχι,Συγχρονισμός από canonical analysis.
SRC-F43D9994F4,απόρριψη,απορρίφθηκε,,εύρωστη ενισχυτική μάθηση; πινακοποιημένη ενισχυτική μάθηση; ενισχυτική μάθηση με μοντέλο,όχι,Συγχρονισμός από canonical analysis.
SRC-E41D012B99,απόρριψη,απορρίφθηκε,,εύρωστη ενισχυτική μάθηση; πινακοποιημένη ενισχυτική μάθηση; ενισχυτική μάθηση με μοντέλο,όχι,Συγχρονισμός από canonical analysis.
SRC-24038FBE78,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-B1B0E55CA6,απόρριψη,απορρίφθηκε,,ανθεκτικότητα και ανάκαμψη; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-F355021435,απόρριψη,απορρίφθηκε,,πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-F7E7C38BFD,απόρριψη,απορρίφθηκε,,ανθεκτικότητα και ανάκαμψη; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-98B4CE528B,απόρριψη,απορρίφθηκε,,χωρίς κατηγορία,όχι,Συγχρονισμός από canonical analysis.
SRC-D6F2B11A5D,απόρριψη,απορρίφθηκε,,GridWorld; ασφαλής ενισχυτική μάθηση; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-5F508C4383,απόρριψη,απορρίφθηκε,,ανθεκτικότητα και ανάκαμψη; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή; στατιστική αξιολόγηση,όχι,Συγχρονισμός από canonical analysis.
SRC-ACB00B414D,απόρριψη,απορρίφθηκε,,βαθιά ενισχυτική μάθηση; πράκτορες τεχνητής νοημοσύνης,όχι,Συγχρονισμός από canonical analysis.
SRC-2CA4104ACF,απόρριψη,απορρίφθηκε,,GridWorld; συνεχής προσαρμογή,όχι,Συγχρονισμός από canonical analysis.
SRC-BE53B7970E,υποστηρικτική,επαληθευμένη,,μη στασιμότητα; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση,ναι,Συγχρονισμός από canonical analysis.
SRC-85335DDDA6,υποστηρικτική,επαληθευμένη,,ανθεκτικότητα και ανάκαμψη; αβεβαιότητα ενεργειών; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,ναι,Συγχρονισμός από canonical analysis.
SRC-0A9340F46A,απόρριψη,απορρίφθηκε,,στατιστική αξιολόγηση,όχι,Συγχρονισμός από canonical analysis.
